0,0.2320,0
500,0.0426,0.2857142857142857
1000,0.0614,0.7333333333333333
1500,0.2351,0.9545454545454546
2000,0.1826,1.0
2500,0.2454,1.0
3000,0.2371,1.0
3500,0.2053,1.0
4000,0.3673,1.0
4500,0.0916,1.0
5000,0.0813,1.0
5500,0.0382,1.0
6000,0.0543,1.0
6500,0.0337,1.0
7000,0.1859,1.0
7500,0.0375,1.0
8000,0.0450,1.0
8500,0.0681,1.0
9000,0.1455,1.0
9500,0.0334,1.0
10000,0.0211,1.0
10500,0.0130,1.0
11000,0.0142,1.0
11500,0.1894,1.0
12000,0.0579,1.0
12500,0.0359,1.0
13000,0.0239,1.0
13500,0.0199,1.0
14000,0.0279,1.0
14500,0.1997,1.0
15000,0.0241,1.0
15500,0.0966,1.0
16000,0.0909,1.0
16500,0.0341,1.0
17000,0.0390,1.0
17500,0.0291,1.0
18000,0.0133,1.0
18500,0.0158,1.0
19000,0.0242,1.0
19500,0.0571,1.0
20000,0.0390,1.0
